case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,1-5-7-6,scaleST,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-5-7-6,scaleST,median,0.8,0,0.666666667,0,4,0.4,0.282842712,0.333333333,0.23570226,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,2-4-7-6,readTime,per_student,0.221621622,0.53176663,0.18018018,0.486110966,37,0.442857143,0.377424138,0.404761905,0.354753915,7,-0.221235521,-0.224581725,0.221235521,0.224581725
CASE1_strict,2-4-7-6,readTime,avg,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,readTime,median,0.4,0,0.333333333,0,4,0.2,0,0,0,4,0.2,0.333333333,0.2,0.333333333
CASE1_strict,2-4-7-6,log_readTime,per_student,0.132432432,0.640968041,0.112612613,0.556228794,37,0.442857143,0.377424138,0.404761905,0.354753915,7,-0.31042471,-0.292149292,0.31042471,0.292149292
CASE1_strict,2-4-7-6,log_readTime,avg,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,log_readTime,median,0.4,0,0.333333333,0,4,0.2,0,0,0,4,0.2,0.333333333,0.2,0.333333333
CASE1_strict,2-4-7-6,time_function,per_student,0.054054054,0.648738732,0.036036036,0.583989509,37,0.257142857,0.437058815,0.238095238,0.343385836,7,-0.203088803,-0.202059202,0.203088803,0.202059202
CASE1_strict,2-4-7-6,time_function,avg,0.4,0,0.333333333,0,4,1,0,1,0,4,-0.6,-0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,time_function,median,0.8,0,0.666666667,0,4,0.2,0,0,0,4,0.6,0.666666667,0.6,0.666666667
CASE1_strict,2-4-7-6,time_output,per_student,0.424324324,0.57299847,0.355855856,0.534348923,37,0.657142857,0.292072119,0.571428571,0.279698574,7,-0.232818533,-0.215572716,0.232818533,0.215572716
CASE1_strict,2-4-7-6,time_output,avg,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,2-4-7-6,time_output,median,1,0,1,0,4,1,0,1,0,4,0,0,0,0
CASE1_strict,2-4-7-6,time_syntaxBL,per_student,-0.1,0.601799104,-0.099099099,0.523414895,37,-0.471428571,0.3953815,-0.404761905,0.343385836,7,0.371428571,0.305662806,0.371428571,0.305662806
CASE1_strict,2-4-7-6,time_syntaxBL,avg,-0.8,0,-0.666666667,0,4,-1,0,-1,0,4,0.2,0.333333333,0.2,0.333333333
CASE1_strict,2-4-7-6,time_syntaxBL,median,-0.6,0.282842712,-0.5,0.319142369,4,-1,0,-1,0,4,0.4,0.5,0.4,0.5
CASE1_strict,2-4-7-6,time_scaleSM,per_student,0.008108108,0.560587712,0.013513514,0.483012286,37,0.085714286,0.527605295,0.071428571,0.416496564,7,-0.077606178,-0.057915058,0.077606178,0.057915058
CASE1_strict,2-4-7-6,time_scaleSM,avg,-0.4,0,-0.333333333,0,4,0.2,0,0,0,4,-0.6,-0.333333333,0.6,0.333333333
CASE1_strict,2-4-7-6,time_scaleSM,median,0.2,0.43204938,0.166666667,0.319142369,4,0.6,0.2,0.5,0.166666667,4,-0.4,-0.333333333,0.4,0.333333333
