case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,abs_delta_spearman
strict,1-4-7-6,time_output,avg,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,time_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,time_syntaxBL,per_student,0.0297297297297297,0.5108894548354752,0.027027027027027,0.420055611779271,37,0.3428571428571428,0.2969229955832361,0.261904761904762,0.2332847374079217,7,-0.3131274131274131,0.3131274131274131
strict,1-4-7-6,time_syntaxBL,avg,0.1999999999999999,0.0,0.0,0.0,4,0.1999999999999999,0.0,0.0,0.0,4,0.0,0.0
strict,1-4-7-6,time_syntaxBL,median,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.0999999999999999,0.3,-0.1666666666666667,0.1666666666666667,4,0.3999999999999999,0.3999999999999999
strict,1-4-7-6,time_scaleSM,per_student,0.1756756756756756,0.5308867672852635,0.1576576576576576,0.4665153325180142,37,0.4571428571428571,0.328881840949181,0.4047619047619048,0.3067642553982173,7,-0.28146718146718147,0.28146718146718147
strict,1-4-7-6,time_scaleSM,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.4,0.4
strict,1-4-7-6,time_scaleSM,median,0.7999999999999999,0.1414213562373094,0.6666666666666669,0.2357022603955158,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.0,0.0
strict,1-4-7-6,time_scaleST,per_student,0.1162162162162162,0.4756296046485283,0.0945945945945946,0.4037001171605059,37,0.4142857142857142,0.2948538205792899,0.3571428571428572,0.2075666163590797,7,-0.298069498069498,0.298069498069498
strict,1-4-7-6,time_scaleST,avg,-0.3999999999999999,0.0,-0.3333333333333334,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,-1.1999999999999997,1.1999999999999997
strict,1-4-7-6,time_scaleST,median,0.0,0.0,0.0,0.0,4,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.3,0.3
strict,1-4-7-6,log_time_function,per_student,0.027027027027027,0.5621621621621621,0.009009009009009,0.4807806869955436,37,0.0857142857142857,0.5642405045180428,0.0952380952380952,0.4616837959444124,7,-0.0586872586872587,0.0586872586872587
strict,1-4-7-6,log_time_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.4,0.4
strict,1-4-7-6,log_time_function,median,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.1999999999999999,0.0,0.0,0.0,4,0.6000000000000001,0.6000000000000001
strict,1-4-7-6,log_time_output,per_student,0.4621621621621621,0.4611099132330724,0.4009009009009009,0.4235192531006544,37,0.8142857142857142,0.1884415136896131,0.7380952380952382,0.2156044080508908,7,-0.35212355212355206,0.35212355212355206
strict,1-4-7-6,log_time_output,avg,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_syntaxBL,per_student,0.0297297297297297,0.5108894548354752,0.027027027027027,0.420055611779271,37,0.3428571428571428,0.2969229955832361,0.261904761904762,0.2332847374079217,7,-0.3131274131274131,0.3131274131274131
strict,1-4-7-6,log_time_syntaxBL,avg,0.1999999999999999,0.0,0.0,0.0,4,0.1999999999999999,0.0,0.0,0.0,4,0.0,0.0
strict,1-4-7-6,log_time_syntaxBL,median,0.3,0.0999999999999999,0.1666666666666667,0.1666666666666667,4,-0.0999999999999999,0.3,-0.1666666666666667,0.1666666666666667,4,0.3999999999999999,0.3999999999999999
